title,releaseDate,retailPrice
Vans Mod Slip-On Checkerboard,2020-01-22 23:59:59,120.0
Air Max Plus 3 Smoke Grey Lemon Venom,2020-01-22 23:59:59,190.0
Nike SB Dunk High Paul Rodriguez Mexico,2020-01-21 23:59:59,125.0
LeBron 17 I Promise,2020-01-21 23:59:59,200.0
Vans Style 67 Min-Nano,2020-01-21 23:59:59,100.0
Nike SB Blazer Mid Edge Hack Pack Blue,2020-01-20 23:59:59,95.0
Jordan 1 Mid Alternate Multi-Color (GS),2020-01-20 23:59:59,90.0
Under Armour Curry 7 Zeppelin Yellow,2020-01-20 23:59:59,140.0
Under Armour Curry 7 Zeppelin Yellow (GS),2020-01-20 23:59:59,110.0
Nike SB Dunk Low Infrared Orange Label,2020-01-20 23:59:59,100.0
Air Max 270 React Plum Chalk Stone Mauve (W),2020-01-20 23:59:59,150.0
Air Foamposite One Cracked Lava,2020-01-19 23:59:59,230.0
Air Foamposite One Cracked Lava (GS),2020-01-19 23:59:59,180.0
Air Foamposite One Cracked Lava (TD),2020-01-19 23:59:59,75.0
Air Foamposite One Cracked Lava (PS),2020-01-19 23:59:59,100.0
Air Foamposite One Cracked Lava (I),2020-01-19 23:59:59,50.0
adidas Dame 6 Core Black White,2020-01-18 23:59:59,110.0
adidas Dame 6 Shock Yellow White,2020-01-18 23:59:59,110.0
adidas Dame 6 Solar Red White,2020-01-18 23:59:59,110.0
Jordan 1 Retro High Black Satin Gym Red,2020-01-18 23:59:59,170.0
Jordan 1 Retro High Black Gym Red Black (GS),2020-01-18 23:59:59,130.0
Saucony Aya Raised By Wolves,2020-01-18 23:59:59,130.0
Air Max 1 Chinese New Year Longevity (2020),2020-01-18 23:59:59,160.0
Nike PG 4 Gatorade 2K Gamer Exclusive,2020-01-18 23:59:59,120.0
Jordan 1 Jester XX Low Laced Noble Red (W),2020-01-18 23:59:59,100.0
adidas Sleek Super 72 Beyonce Ivy Park (W),2020-01-18 23:59:59,100.0
adidas Nite Jogger Beyonce Ivy Park,2020-01-18 23:59:59,160.0
adidas Ultra Boost Beyonce Ivy Park,2020-01-18 23:59:59,200.0
Vans Sk8-Hi Dark Aura,2020-01-18 23:59:59,70.0
Vans Old Skool Dark Aura,2020-01-18 23:59:59,65.0
Vans Slip-On Dark Aura,2020-01-18 23:59:59,60.0
New Balance 670 Year of the Rat (2020),2020-01-18 23:59:59,160.0
adidas Nite Jogger Beyonce Ivy Park Ecru Tint,2020-01-18 23:59:59,160.0
Nike PG 4 Gatorade,2020-01-17 23:59:59,120.0
Nike React Vision Photon Dust (W),2020-01-17 23:59:59,140.0
Air Force 1 Shadow White Total Orange (W),2020-01-17 23:59:59,110.0
Nike React Element 55 ACG,2020-01-17 23:59:59,140.0
adidas Torsion Trdc Clear Brown Glory Green (W),2020-01-17 23:59:59,130.0
Nike React Infinity Run Platinum Tint Pink Blast,2020-01-16 23:59:59,160.0
Kyrie 6 Bred,2020-01-16 23:59:59,130.0
Kyrie 6 Bred (TD),2020-01-16 23:59:59,55.0
Kyrie 6 Bred (GS),2020-01-16 23:59:59,110.0
Kyrie 6 Bred (PS),2020-01-16 23:59:59,80.0
Jordan XXXIV White Metallic Silver,2020-01-16 23:59:59,180.0
Jordan XXXIV White Metallic Silver (GS),2020-01-16 23:59:59,140.0
Vans Sk8-Hi Decon Noah Tobacco,2020-01-16 23:59:59,90.0
Vans Sk8-Hi Decon Noah Petrol,2020-01-16 23:59:59,90.0
Air Max 97 G Silver Bullet,2020-01-16 23:59:59,180.0
Air Max 270 React Eng Watermelon,2020-01-16 23:59:59,180.0
Nike React Infinity Run Black White,2020-01-16 23:59:59,160.0
Nike React Infinity Run Platinum Pink Orange (W),2020-01-16 23:59:59,160.0
Air Max 270 React Eng Black Sapphire,2020-01-16 23:59:59,160.0
Nike React Infinity Run Black White (W),2020-01-16 23:59:59,160.0
Air Max 270 React Eng Eggplant Magic Flamingo (W),2020-01-16 23:59:59,170.0
Nike ACG Terra Zaherra Rush Pink Racer Blue,2020-01-16 23:59:59,180.0
Air Max 270 React Eng Burgundy Ash (W),2020-01-16 23:59:59,180.0
Jordan OG OG White Black (W),2020-01-16 23:59:59,140.0
